epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.943,0.70777,0.65647,1.16549,0.93471,0.95102,0.96477,0.81654,0.64097,0.3882,1.1229,0.0700113,0.00333208,0.00333208
2,563.484,0.70034,0.47206,1.15587,0.9178,0.92207,0.96007,0.80383,0.65034,0.4306,1.11484,0.0396813,0.00633548,0.00633548
3,837.999,0.73561,0.50746,1.18118,0.9375,0.94004,0.97093,0.80579,0.68085,0.40635,1.16126,0.00902138,0.00900887,0.00900887
4,1113.03,0.77854,0.53999,1.21784,0.9362,0.94363,0.97042,0.80487,0.69563,0.39815,1.15778,0.008515,0.008515,0.008515
5,1388.24,0.78539,0.53821,1.21632,0.9318,0.94829,0.97022,0.80928,0.684,0.39371,1.14789,0.00802,0.00802,0.00802
6,1663.68,0.77708,0.5361,1.20897,0.93229,0.94423,0.96918,0.80391,0.67636,0.42913,1.14243,0.007525,0.007525,0.007525
7,1936.81,0.76661,0.52844,1.19764,0.93647,0.94327,0.97109,0.81263,0.66542,0.38945,1.12694,0.00703,0.00703,0.00703
8,2209.12,0.76037,0.51521,1.19182,0.93488,0.95009,0.97182,0.81028,0.67218,0.40602,1.12339,0.006535,0.006535,0.006535
9,2482.73,0.7508,0.51252,1.18558,0.94227,0.95533,0.97443,0.82171,0.65629,0.36746,1.12322,0.00604,0.00604,0.00604
10,2759.76,0.7447,0.50195,1.18701,0.92875,0.95655,0.97184,0.82066,0.65585,0.37936,1.12458,0.005545,0.005545,0.005545
11,3034.88,0.62702,0.36996,1.11206,0.93675,0.95188,0.97603,0.81895,0.67974,0.38975,1.1436,0.00505,0.00505,0.00505
12,3310.01,0.60826,0.35919,1.09657,0.94336,0.95655,0.97785,0.82788,0.6519,0.36611,1.11835,0.004555,0.004555,0.004555
13,3585.8,0.59673,0.33999,1.0837,0.94123,0.95466,0.98129,0.83329,0.64745,0.35889,1.12548,0.00406,0.00406,0.00406
14,3862.12,0.58656,0.33289,1.07272,0.95173,0.96278,0.9817,0.84155,0.64844,0.3404,1.13328,0.003565,0.003565,0.003565
15,4138.24,0.56612,0.31592,1.05682,0.9483,0.96984,0.98221,0.84531,0.63176,0.32494,1.12097,0.00307,0.00307,0.00307
16,4414.62,0.55694,0.29956,1.04768,0.96017,0.96804,0.98495,0.85041,0.62938,0.31205,1.11509,0.002575,0.002575,0.002575
17,4690.89,0.54296,0.28471,1.03762,0.95534,0.97559,0.98429,0.85253,0.62202,0.31369,1.10325,0.00208,0.00208,0.00208
18,4961.36,0.53221,0.27737,1.02883,0.96122,0.97008,0.98551,0.85689,0.62089,0.29871,1.10351,0.001585,0.001585,0.001585
19,5228.6,0.51419,0.26455,1.0144,0.97263,0.95693,0.98568,0.85734,0.60913,0.30028,1.08912,0.00109,0.00109,0.00109
20,5498.44,0.5055,0.25765,1.00294,0.96057,0.97379,0.98502,0.85864,0.6064,0.29777,1.08332,0.000595,0.000595,0.000595
