epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.587,1.13343,1.07631,1.49227,0.84691,0.81544,0.8728,0.57673,1.14517,0.75157,1.53899,0.0700225,0.00333083,0.00333083
2,471.468,1.13595,0.89972,1.47045,0.8902,0.8995,0.93115,0.63468,1.0792,0.67983,1.50194,0.0399895,0.00663118,0.00663118
3,704.754,1.2081,0.95506,1.52511,0.85166,0.82729,0.87898,0.55757,1.25509,0.83411,1.61962,0.00992353,0.00989852,0.00989852
4,940.321,1.22077,0.96457,1.53727,0.88552,0.93106,0.92559,0.64854,1.04452,0.60689,1.49032,0.0098515,0.0098515,0.0098515
5,1176.32,1.15494,0.878,1.49792,0.88811,0.92675,0.93261,0.66679,0.98493,0.60289,1.42747,0.009802,0.009802,0.009802
6,1406.61,1.10506,0.81524,1.45972,0.89225,0.93357,0.9421,0.69506,0.93536,0.55667,1.39356,0.0097525,0.0097525,0.0097525
7,1634.61,1.06754,0.78692,1.43212,0.90905,0.93645,0.95052,0.70962,0.90559,0.52829,1.36141,0.009703,0.009703,0.009703
8,1864.13,1.03987,0.75493,1.40776,0.91861,0.93609,0.9539,0.72669,0.87236,0.50023,1.31634,0.0096535,0.0096535,0.0096535
9,2091.71,1.01427,0.73567,1.39198,0.91398,0.94075,0.94661,0.71892,0.87188,0.50916,1.32501,0.009604,0.009604,0.009604
10,2318.31,0.9913,0.72678,1.37243,0.91296,0.93932,0.95402,0.73481,0.83155,0.50961,1.27714,0.0095545,0.0095545,0.0095545
11,2545.55,0.98769,0.70956,1.36935,0.92036,0.94255,0.95403,0.73931,0.81906,0.48952,1.28896,0.009505,0.009505,0.009505
12,2772.47,0.97401,0.69438,1.3584,0.90647,0.94758,0.95457,0.74415,0.80496,0.48247,1.2539,0.0094555,0.0094555,0.0094555
13,3002.79,0.95758,0.677,1.34101,0.91805,0.94925,0.95754,0.75017,0.79307,0.47884,1.25033,0.009406,0.009406,0.009406
14,3229.36,0.95322,0.67294,1.34485,0.91514,0.94399,0.95731,0.75202,0.79769,0.47231,1.25521,0.0093565,0.0093565,0.0093565
